source	target
http://www.ncbi.nlm.nih.gov/pubmed/16492439	EFFECT OF HIGH-DOSE IBUPROFEN IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Effectiveness of home versus hospital care in the routine treatment of cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	EFFICACY OF AEROSOLIZED TOBRAMYCIN IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	EVOLUTION OF PULMONARY-FUNCTION DURING AN ACUTE EXACERBATION IN HOSPITALIZED-PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	ferkol t
http://www.ncbi.nlm.nih.gov/pubmed/16492439	High-resolution computed tomography in young patients with cystic fibrosis: Distribution of abnormalities and correlation with pulmonary function tests
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Home intravenous therapy in cystic fibrosis: A prospective randomized trial examining clinical, quality of life and cost aspects"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	HOME VERSUS HOSPITAL INTRAVENOUS ANTIBIOTIC-THERAPY IN THE TREATMENT OF YOUNG-ADULTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	How much do Pseudomonas biofilms contribute to symptoms of pulmonary exacerbation in cystic fibrosis?
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Immunopathogenesis of allergic bronchopulmonary aspergillosis in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Impact of recent pulmonary exacerbations on quality of life in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Inflammatory and microbiologic markers in induced sputum after intravenous antibiotics in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	INFLAMMATORY CYTOKINES IN CYSTIC-FIBROSIS LUNGS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Intermittent administration of inhaled tobramycin in patients with cystic fibrosis. Cystic Fibrosis Inhaled Tobramycin Study Group.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Long term clinical outcome of home and hospital intravenous antibiotic treatment in adults with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Lower respiratory illness in infants and young children with cystic fibrosis: Evaluation of treatment with intravenous hydrocortisone
http://www.ncbi.nlm.nih.gov/pubmed/16492439	MANAGEMENT OF ACUTE PULMONARY EXACERBATIONS IN CYSTIC-FIBROSIS - A CRITICAL-APPRAISAL
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Management of Pseudomonas aeruginosa lung infection in Danish cystic fibrosis patients.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	milla ce
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Once versus three-times daily regimens of tobramycin treatment for pulmonary exacerbations of cystic fibrosis - the TOPIC study: a randomised controlled trial
http://www.ncbi.nlm.nih.gov/pubmed/16492439	One-year outcome after severe pulmonary exacerbation in adults with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Optimization of aerosol deposition by pressure support in children with cystic fibrosis - An experimental and clinical study
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Oral ciprofloxacin vs. intravenous ceftazidime plus tobramycin in pediatric cystic fibrosis patients: comparison of antipseudomonas efficacy and assessment of safety with ultrasonography and magnetic resonance imaging. Cystic Fibrosis Study Group.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Outcome measures for clinical trials in cystic fibrosis. Summary of a Cystic Fibrosis Foundation consensus conference.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Pathophysiology and management of pulmonary infections in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Predictive 5-year survivorship model of cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	PREDICTIVE VALUE OF PULMONARY-FUNCTION TESTING DURING PULMONARY EXACERBATIONS IN CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	PROSPECTIVE CONTROLLED-STUDY OF HOME AND HOSPITAL THERAPY OF CYSTIC-FIBROSIS PULMONARY-DISEASE
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Pseudomonas aeruginosa and other predictors of mortality and morbidity in young children with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Pulmonary exacerbations in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Pulmonary exacerbations in cystic fibrosis - It's time to be explicit!
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Pulmonary function, inflammation, exercise capacity and quality of life in cystic fibrosis"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	QUALITY OF WELL-BEING BEFORE AND AFTER ANTIBIOTIC-TREATMENT OF PULMONARY EXACERBATION IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	RANDOMIZED TRIAL OF CEFTAZIDIME VERSUS PLACEBO IN THE MANAGEMENT OF ACUTE RESPIRATORY EXACERBATIONS IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	REDUCTION OF SPUTUM PSEUDOMONAS-AERUGINOSA DENSITY BY ANTIBIOTICS IMPROVES LUNG-FUNCTION IN CYSTIC-FIBROSIS MORE THAN DO BRONCHODILATORS AND CHEST PHYSIOTHERAPY ALONE
http://www.ncbi.nlm.nih.gov/pubmed/16492439	rosenfeld ma
http://www.ncbi.nlm.nih.gov/pubmed/16492439	SERIAL CHANGES IN PULMONARY FUNCTIONS IN CHILDREN HOSPITALIZED WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Short-term effects of three chest physiotherapy regimens in patients hospitalized for pulmonary exacerbations of cystic fibrosis: a cross-over randomized study.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Single and combination antibiotic susceptibilities of planktonic, adherent, and biofilm-grown Pseudomonas aeruginosa isolates cultured from sputa of adults with cystic fibrosis"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Susceptibility testing of Pseudomonas aeruginosa isolates and clinical response to parenteral antibiotic administration - Lack of association in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/16492439	The association of socioeconomic status with outcomes in cystic fibrosis patients in the United States
http://www.ncbi.nlm.nih.gov/pubmed/16492439	THE CHANGING EPIDEMIOLOGY OF CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	TOBRAMYCIN IN PATIENTS WITH CYSTIC-FIBROSIS - ADJUSTMENT IN DOSING INTERVAL FOR EFFECTIVE TREATMENT
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Univ Minnesota
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Univ Minnesota, Dept Pediat, Minneapolis, MN 55455 USA"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Univ Washington
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Univ Washington, Sch Med, Dept Pediat, Seattle, WA 98195 USA"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	University of Minnesota System
http://www.ncbi.nlm.nih.gov/pubmed/16492439	University of Minnesota Twin Cities
http://www.ncbi.nlm.nih.gov/pubmed/16492439	University of Washington
http://www.ncbi.nlm.nih.gov/pubmed/16492439	University of Washington Seattle
http://www.ncbi.nlm.nih.gov/pubmed/16492439	VARIABILITY IN PARAMETERS OF ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Viral respiratory infections in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Washington Univ
http://www.ncbi.nlm.nih.gov/pubmed/16492439	"Washington Univ, Sch Med, Dept Pediat Cell Biol & Physiol, St Louis, MO USA"
http://www.ncbi.nlm.nih.gov/pubmed/16492439	Washington University
http://www.ncbi.nlm.nih.gov/pubmed/16537378	Baylor Univ
http://www.ncbi.nlm.nih.gov/pubmed/16537378	"Baylor Univ, Inst Metab Dis, Dallas, TX 75226 USA"
http://www.ncbi.nlm.nih.gov/pubmed/16537378	bottiglieri t
http://www.ncbi.nlm.nih.gov/pubmed/16537378	conrad ck
http://www.ncbi.nlm.nih.gov/pubmed/16537378	herzenberg la
http://www.ncbi.nlm.nih.gov/pubmed/16537378	moss rb
http://www.ncbi.nlm.nih.gov/pubmed/16537378	NCI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/16537378	Stanford Univ
http://www.ncbi.nlm.nih.gov/pubmed/16537378	"Stanford Univ, Sch Med, Dept Genet, Stanford, CA 94305 USA"
http://www.ncbi.nlm.nih.gov/pubmed/16537378	"Stanford Univ, Sch Med, Dept Pediat, Stanford, CA 94305 USA"
http://www.ncbi.nlm.nih.gov/pubmed/16537378	Stanford University
http://www.ncbi.nlm.nih.gov/pubmed/16537378	tirouvanziam r
http://www.ncbi.nlm.nih.gov/pubmed/16556691	balfour-lynn im
http://www.ncbi.nlm.nih.gov/pubmed/16556691	Belfast City Hosp
http://www.ncbi.nlm.nih.gov/pubmed/16556691	"Belfast City Hosp, Adult Cyst Fibrosis Unit, Belfast BT9 7AD, Antrim, North Ireland"
http://www.ncbi.nlm.nih.gov/pubmed/16556691	cf wise investigators
http://www.ncbi.nlm.nih.gov/pubmed/16556691	elborn js
http://www.ncbi.nlm.nih.gov/pubmed/16556691	flather m
http://www.ncbi.nlm.nih.gov/pubmed/16556691	hall p
http://www.ncbi.nlm.nih.gov/pubmed/16556691	Imperial College London
http://www.ncbi.nlm.nih.gov/pubmed/16556691	khan m
http://www.ncbi.nlm.nih.gov/pubmed/16556691	lees b
http://www.ncbi.nlm.nih.gov/pubmed/16556691	phillips g
http://www.ncbi.nlm.nih.gov/pubmed/16556691	Royal Brompton Hosp
http://www.ncbi.nlm.nih.gov/pubmed/16556691	"Royal Brompton Hosp, Clin Trials & Evaluat Unit, London SW3 6LY, England"
http://www.ncbi.nlm.nih.gov/pubmed/16556691	"Royal Brompton Hosp, Dept Paediat Resp Med, London SW3 6LY, England"
http://www.ncbi.nlm.nih.gov/pubmed/16556691	Univ London Imperial Coll Sci Technol & Med
http://www.ncbi.nlm.nih.gov/pubmed/16556691	"Univ London Imperial Coll Sci Technol & Med, Natl Heart & Lung Inst, London, England"
http://www.ncbi.nlm.nih.gov/pubmed/1671425	birrer p
http://www.ncbi.nlm.nih.gov/pubmed/1671425	caplan db
http://www.ncbi.nlm.nih.gov/pubmed/1671425	chernick ms
http://www.ncbi.nlm.nih.gov/pubmed/1671425	crystal rg
http://www.ncbi.nlm.nih.gov/pubmed/1671425	EMORY UNIV
http://www.ncbi.nlm.nih.gov/pubmed/1671425	"EMORY UNIV,SCH MED,DEPT PEDIAT,DIV GASTROENTEROL & CYST FIBROSIS,ATLANTA,GA 30322"
http://www.ncbi.nlm.nih.gov/pubmed/1671425	Emory University
http://www.ncbi.nlm.nih.gov/pubmed/1671425	frank mm
http://www.ncbi.nlm.nih.gov/pubmed/1671425	hubbard rc
http://www.ncbi.nlm.nih.gov/pubmed/1671425	mcelvaney ng
http://www.ncbi.nlm.nih.gov/pubmed/1671425	National Institutes of Health (NIH) - USA
http://www.ncbi.nlm.nih.gov/pubmed/1671425	NHLBI
http://www.ncbi.nlm.nih.gov/pubmed/1671425	"NHLBI,PULM BRANCH,BLDG 10,ROOM 6DO3,BETHESDA,MD 20892"
http://www.ncbi.nlm.nih.gov/pubmed/1671425	NIAID
http://www.ncbi.nlm.nih.gov/pubmed/1671425	"NIAID,CLIN INVEST LAB,BETHESDA,MD 20892"
http://www.ncbi.nlm.nih.gov/pubmed/1671425	NIDDKD
http://www.ncbi.nlm.nih.gov/pubmed/1671425	"NIDDKD,PEDIAT METAB BRANCH,BETHESDA,MD"
http://www.ncbi.nlm.nih.gov/pubmed/1679870	"Department of Pediatrics GGK, Rigshospitalet, Copenhagen, Denmark."
http://www.ncbi.nlm.nih.gov/pubmed/1679870	hiby n
http://www.ncbi.nlm.nih.gov/pubmed/1679870	koch c
http://www.ncbi.nlm.nih.gov/pubmed/1679870	valerius nh
http://www.ncbi.nlm.nih.gov/pubmed/1682645	cryz sj
http://www.ncbi.nlm.nih.gov/pubmed/1682645	furer e
http://www.ncbi.nlm.nih.gov/pubmed/1682645	lang ab
http://www.ncbi.nlm.nih.gov/pubmed/1682645	que ju
http://www.ncbi.nlm.nih.gov/pubmed/1682645	ruedeberg a
http://www.ncbi.nlm.nih.gov/pubmed/1682645	schaad ub
http://www.ncbi.nlm.nih.gov/pubmed/1682645	SWISS SERUM & VACCINE INST
http://www.ncbi.nlm.nih.gov/pubmed/1682645	"SWISS SERUM & VACCINE INST,BERN,SWITZERLAND"
http://www.ncbi.nlm.nih.gov/pubmed/1682645	wedgwood j
http://www.ncbi.nlm.nih.gov/pubmed/16829217	"Department of Medicine, University of Washington Medical Center, Seattle, WA 98195, USA. goss@u.washington.edu"
http://www.ncbi.nlm.nih.gov/pubmed/16829217	goss ch
http://www.ncbi.nlm.nih.gov/pubmed/16829217	kronmal ra
http://www.ncbi.nlm.nih.gov/pubmed/16829217	mayer-hamblett n
http://www.ncbi.nlm.nih.gov/pubmed/16829217	NCRR NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/16829217	ramsey bw
http://www.ncbi.nlm.nih.gov/pubmed/16829217	williams jc
http://www.ncbi.nlm.nih.gov/pubmed/16870510	castellani c
http://www.ncbi.nlm.nih.gov/pubmed/16870510	dankert-roelse je
http://www.ncbi.nlm.nih.gov/pubmed/16870510	munck a
http://www.ncbi.nlm.nih.gov/pubmed/16870510	pollitt r
http://www.ncbi.nlm.nih.gov/pubmed/16870510	southern kw
http://www.ncbi.nlm.nih.gov/pubmed/16870510	travert g
http://www.ncbi.nlm.nih.gov/pubmed/16870510	"University of Liverpool, Royal Liverpool Children's Hospital, Liverpool, United Kingdom."
http://www.ncbi.nlm.nih.gov/pubmed/16870510	zanolla l
http://www.ncbi.nlm.nih.gov/pubmed/16870519	beeton ca
http://www.ncbi.nlm.nih.gov/pubmed/16870519	bord s
http://www.ncbi.nlm.nih.gov/pubmed/16870519	compston je
http://www.ncbi.nlm.nih.gov/pubmed/16870519	ireland d
http://www.ncbi.nlm.nih.gov/pubmed/16870519	Univ Cambridge
http://www.ncbi.nlm.nih.gov/pubmed/16870519	"Univ Cambridge, Addenbrookes Hosp, Sch Clin Med, Dept Med, Cambridge CB2 2QQ, England"
http://www.ncbi.nlm.nih.gov/pubmed/16870519	University of Cambridge
http://www.ncbi.nlm.nih.gov/pubmed/16870519	Wellcome Trust
http://www.ncbi.nlm.nih.gov/pubmed/16957987	boyd sk
http://www.ncbi.nlm.nih.gov/pubmed/16957987	ETH
http://www.ncbi.nlm.nih.gov/pubmed/16957987	"ETH, Zurich, Switzerland"
http://www.ncbi.nlm.nih.gov/pubmed/16957987	gasser js
http://www.ncbi.nlm.nih.gov/pubmed/16957987	klinck rj
http://www.ncbi.nlm.nih.gov/pubmed/16957987	krauze pl
http://www.ncbi.nlm.nih.gov/pubmed/16957987	kuhn m
http://www.ncbi.nlm.nih.gov/pubmed/16957987	moser s
http://www.ncbi.nlm.nih.gov/pubmed/16957987	musser r
http://www.ncbi.nlm.nih.gov/pubmed/16957987	Novartis
http://www.ncbi.nlm.nih.gov/pubmed/16957987	Novartis Inst Biomed Res
http://www.ncbi.nlm.nih.gov/pubmed/16957987	"Novartis Inst Biomed Res, Basel, Switzerland"
http://www.ncbi.nlm.nih.gov/pubmed/16957987	Swiss Federal Institute of Technology Zurich
http://www.ncbi.nlm.nih.gov/pubmed/16957987	Univ Calgary
http://www.ncbi.nlm.nih.gov/pubmed/16957987	"Univ Calgary, Schulich Sch Engn, Dept Mech & Mfg Engn, Calgary, AB T2N 1N4, Canada"
http://www.ncbi.nlm.nih.gov/pubmed/16957987	Univ Zurich
http://www.ncbi.nlm.nih.gov/pubmed/16957987	"Univ Zurich, Inst Biomed Engn, Zurich, Switzerland"
http://www.ncbi.nlm.nih.gov/pubmed/16957987	University of Calgary
http://www.ncbi.nlm.nih.gov/pubmed/16957987	University of Zurich
http://www.ncbi.nlm.nih.gov/pubmed/1697059	baylor m
http://www.ncbi.nlm.nih.gov/pubmed/1697059	collins ms
http://www.ncbi.nlm.nih.gov/pubmed/1697059	"Department of Pediatrics, Stanford University School of Medicine, Palo Alto, California."
http://www.ncbi.nlm.nih.gov/pubmed/1697059	hsu yp
http://www.ncbi.nlm.nih.gov/pubmed/1697059	moss rb
http://www.ncbi.nlm.nih.gov/pubmed/1697059	pennington je
http://www.ncbi.nlm.nih.gov/pubmed/1697059	sampanvejsopa v
http://www.ncbi.nlm.nih.gov/pubmed/1697059	van wye je
http://www.ncbi.nlm.nih.gov/pubmed/1698126	cliff wh
http://www.ncbi.nlm.nih.gov/pubmed/1698126	collins fs
http://www.ncbi.nlm.nih.gov/pubmed/1698126	"Department of Internal Medicine, Howard Hughes Medical Institute, University of Michigan Medical School, Ann Arbor 48109-0650."
http://www.ncbi.nlm.nih.gov/pubmed/1698126	drumm ml
http://www.ncbi.nlm.nih.gov/pubmed/1698126	frizzell ra
http://www.ncbi.nlm.nih.gov/pubmed/1698126	marvin sa
http://www.ncbi.nlm.nih.gov/pubmed/1698126	NIDDK NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/1698126	pope ha
http://www.ncbi.nlm.nih.gov/pubmed/1698126	rommens jm
http://www.ncbi.nlm.nih.gov/pubmed/1698126	tsui lc
http://www.ncbi.nlm.nih.gov/pubmed/1698126	wilson jm
http://www.ncbi.nlm.nih.gov/pubmed/1699126	anderson mp
http://www.ncbi.nlm.nih.gov/pubmed/1699126	cheng sh
http://www.ncbi.nlm.nih.gov/pubmed/1699126	GENZYME CORP
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"GENZYME CORP,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	Genzyme Corporation
http://www.ncbi.nlm.nih.gov/pubmed/1699126	gregory rj
http://www.ncbi.nlm.nih.gov/pubmed/1699126	Howard Hughes Medical Institute
http://www.ncbi.nlm.nih.gov/pubmed/1699126	IG LABS INC
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"IG LABS INC,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	jefferson dm
http://www.ncbi.nlm.nih.gov/pubmed/1699126	klinger kw
http://www.ncbi.nlm.nih.gov/pubmed/1699126	mccann jd
http://www.ncbi.nlm.nih.gov/pubmed/1699126	NEW ENGLAND MED CTR
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"NEW ENGLAND MED CTR,DEPT MED,BOSTON,MA 02111"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"NEW ENGLAND MED CTR,DEPT PEDIAT,BOSTON,MA 02111"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	paul s
http://www.ncbi.nlm.nih.gov/pubmed/1699126	rich dp
http://www.ncbi.nlm.nih.gov/pubmed/1699126	smith ae
http://www.ncbi.nlm.nih.gov/pubmed/1699126	TUFTS UNIV
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"TUFTS UNIV,SCH MED,DEPT PHYSIOL,BOSTON,MA 02111"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	Tufts University
http://www.ncbi.nlm.nih.gov/pubmed/1699126	UNIV IOWA
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"UNIV IOWA,COLL MED,DEPT PHYSIOL & BIOPHYS,IOWA CITY,IA 52242"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	"UNIV IOWA,COLL MED,HOWARD HUGHES MED INST,DEPT INTERNAL MED,IOWA CITY,IA 52242"
http://www.ncbi.nlm.nih.gov/pubmed/1699126	University of Iowa
http://www.ncbi.nlm.nih.gov/pubmed/1699126	welsh mjrb
http://www.ncbi.nlm.nih.gov/pubmed/1699127	cheng sh
http://www.ncbi.nlm.nih.gov/pubmed/1699127	GENZYME CORP
http://www.ncbi.nlm.nih.gov/pubmed/1699127	"GENZYME CORP,1 MP RD,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1699127	Genzyme Corporation
http://www.ncbi.nlm.nih.gov/pubmed/1699127	gregory rj
http://www.ncbi.nlm.nih.gov/pubmed/1699127	hehir k
http://www.ncbi.nlm.nih.gov/pubmed/1699127	Howard Hughes Medical Institute
http://www.ncbi.nlm.nih.gov/pubmed/1699127	IG LABS INC
http://www.ncbi.nlm.nih.gov/pubmed/1699127	"IG LABS INC,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1699127	klinger kw
http://www.ncbi.nlm.nih.gov/pubmed/1699127	marshall j
http://www.ncbi.nlm.nih.gov/pubmed/1699127	ostedgaard ls
http://www.ncbi.nlm.nih.gov/pubmed/1699127	paul s
http://www.ncbi.nlm.nih.gov/pubmed/1699127	rich dp
http://www.ncbi.nlm.nih.gov/pubmed/1699127	smith ae
http://www.ncbi.nlm.nih.gov/pubmed/1699127	UNIV IOWA
http://www.ncbi.nlm.nih.gov/pubmed/1699127	"UNIV IOWA,COLL MED,DEPT PHYSIOL & BIOPHYS,IOWA CITY,IA 52242"
http://www.ncbi.nlm.nih.gov/pubmed/1699127	"UNIV IOWA,COLL MED,HOWARD HUGHES MED INST,DEPT INTERNAL MED,IOWA CITY,IA 52242"
http://www.ncbi.nlm.nih.gov/pubmed/1699127	University of Iowa
http://www.ncbi.nlm.nih.gov/pubmed/1699127	welsh mjrb
http://www.ncbi.nlm.nih.gov/pubmed/1699669	cheng sh
http://www.ncbi.nlm.nih.gov/pubmed/1699669	gregory rj
http://www.ncbi.nlm.nih.gov/pubmed/1699669	marshall j
http://www.ncbi.nlm.nih.gov/pubmed/1699669	oriordan cr
http://www.ncbi.nlm.nih.gov/pubmed/1699669	paul s
http://www.ncbi.nlm.nih.gov/pubmed/1699669	smith ae
http://www.ncbi.nlm.nih.gov/pubmed/1699669	souza dw
http://www.ncbi.nlm.nih.gov/pubmed/1699669	white ga
http://www.ncbi.nlm.nih.gov/pubmed/1709095	chu cs
http://www.ncbi.nlm.nih.gov/pubmed/1709095	cutting gr
http://www.ncbi.nlm.nih.gov/pubmed/1709095	dalemans w
http://www.ncbi.nlm.nih.gov/pubmed/1709095	jallat s
http://www.ncbi.nlm.nih.gov/pubmed/1709095	lecocq jp
http://www.ncbi.nlm.nih.gov/pubmed/1709095	mercenier a
http://www.ncbi.nlm.nih.gov/pubmed/1709095	moss j
http://www.ncbi.nlm.nih.gov/pubmed/1709095	murtagh jj
http://www.ncbi.nlm.nih.gov/pubmed/1709095	pavirani a
http://www.ncbi.nlm.nih.gov/pubmed/1709095	"Pulmonary Branch, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, MD 20892."
http://www.ncbi.nlm.nih.gov/pubmed/1709095	trapnell bc
http://www.ncbi.nlm.nih.gov/pubmed/1709163	crystal rg
http://www.ncbi.nlm.nih.gov/pubmed/1709163	dalemans w
http://www.ncbi.nlm.nih.gov/pubmed/1709163	lecocq jp
http://www.ncbi.nlm.nih.gov/pubmed/1709163	nakamura h
http://www.ncbi.nlm.nih.gov/pubmed/1709163	pavirani a
http://www.ncbi.nlm.nih.gov/pubmed/1709163	TRANSGENE SA
http://www.ncbi.nlm.nih.gov/pubmed/1709163	"TRANSGENE SA,F-67082 STRASBOURG,FRANCE"
http://www.ncbi.nlm.nih.gov/pubmed/1709163	trapnell bc
http://www.ncbi.nlm.nih.gov/pubmed/1709163	yoshimura k
http://www.ncbi.nlm.nih.gov/pubmed/1712081	alawqati q
http://www.ncbi.nlm.nih.gov/pubmed/1712081	barasch j
http://www.ncbi.nlm.nih.gov/pubmed/1712081	COLUMBIA UNIV COLL PHYS & SURG
http://www.ncbi.nlm.nih.gov/pubmed/1712081	"COLUMBIA UNIV COLL PHYS & SURG,DEPT PEDIAT,NEW YORK,NY 10032"
http://www.ncbi.nlm.nih.gov/pubmed/1712081	"COLUMBIA UNIV COLL PHYS & SURG,DEPT PHYSIOL,NEW YORK,NY 10032"
http://www.ncbi.nlm.nih.gov/pubmed/1712081	Columbia University
http://www.ncbi.nlm.nih.gov/pubmed/1712081	gruenert dc
http://www.ncbi.nlm.nih.gov/pubmed/1712081	kiss b
http://www.ncbi.nlm.nih.gov/pubmed/1712081	prince a
http://www.ncbi.nlm.nih.gov/pubmed/1712081	saiman l
http://www.ncbi.nlm.nih.gov/pubmed/1712081	UNIV CALIF SAN FRANCISCO
http://www.ncbi.nlm.nih.gov/pubmed/1712081	"UNIV CALIF SAN FRANCISCO,CYST FIBROSIS RES CTR,SAN FRANCISCO,CA 94143"
http://www.ncbi.nlm.nih.gov/pubmed/1712081	University of California San Francisco
http://www.ncbi.nlm.nih.gov/pubmed/1712081	University of California System
http://www.ncbi.nlm.nih.gov/pubmed/1712984	anderson mp
http://www.ncbi.nlm.nih.gov/pubmed/1712984	GENZYME CORP
http://www.ncbi.nlm.nih.gov/pubmed/1712984	"GENZYME CORP,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1712984	Genzyme Corporation
http://www.ncbi.nlm.nih.gov/pubmed/1712984	gregory rj
http://www.ncbi.nlm.nih.gov/pubmed/1712984	Howard Hughes Medical Institute
http://www.ncbi.nlm.nih.gov/pubmed/1712984	Massachusetts Institute of Technology (MIT)
http://www.ncbi.nlm.nih.gov/pubmed/1712984	MIT
http://www.ncbi.nlm.nih.gov/pubmed/1712984	"MIT,DEPT BIOL,CAMBRIDGE,MA 02142"
http://www.ncbi.nlm.nih.gov/pubmed/1712984	"MIT,WHITEHEAD INST,CAMBRIDGE,MA 02142"
http://www.ncbi.nlm.nih.gov/pubmed/1712984	mulligan rc
http://www.ncbi.nlm.nih.gov/pubmed/1712984	paul s
http://www.ncbi.nlm.nih.gov/pubmed/1712984	smith ae
http://www.ncbi.nlm.nih.gov/pubmed/1712984	souza dw
http://www.ncbi.nlm.nih.gov/pubmed/1712984	thompson s
http://www.ncbi.nlm.nih.gov/pubmed/1712984	UNIV IOWA
http://www.ncbi.nlm.nih.gov/pubmed/1712984	"UNIV IOWA,COLL MED,HOWARD HUGHES MED INST,DEPT PHYSIOL & BIOPHYS,IOWA CITY,IA 52242"
http://www.ncbi.nlm.nih.gov/pubmed/1712984	University of Iowa
http://www.ncbi.nlm.nih.gov/pubmed/1712984	welsh mjrb
http://www.ncbi.nlm.nih.gov/pubmed/1712984	Whitehead Institute
http://www.ncbi.nlm.nih.gov/pubmed/1712985	anderson mp
http://www.ncbi.nlm.nih.gov/pubmed/1712985	GENZYME CORP
http://www.ncbi.nlm.nih.gov/pubmed/1712985	"GENZYME CORP,FRAMINGHAM,MA 01701"
http://www.ncbi.nlm.nih.gov/pubmed/1712985	Genzyme Corporation
http://www.ncbi.nlm.nih.gov/pubmed/1712985	gregory rj
http://www.ncbi.nlm.nih.gov/pubmed/1712985	Howard Hughes Medical Institute
http://www.ncbi.nlm.nih.gov/pubmed/1712985	manavalan p
http://www.ncbi.nlm.nih.gov/pubmed/1712985	Massachusetts Institute of Technology (MIT)
http://www.ncbi.nlm.nih.gov/pubmed/1712985	MIT
http://www.ncbi.nlm.nih.gov/pubmed/1712985	"MIT,HOWARD HUGHES MED INST,DEPT PHYSIOL & BIOPHYS,CAMBRIDGE,MA 02142"
http://www.ncbi.nlm.nih.gov/pubmed/1712985	rich dp
http://www.ncbi.nlm.nih.gov/pubmed/1712985	smith ae
http://www.ncbi.nlm.nih.gov/pubmed/1712985	welsh mjrb
http://www.ncbi.nlm.nih.gov/pubmed/17136977	leidy nk
